Comments,Like,Dislike,User
중국은 인류에도 해롭고 지구에도 해롭다. 하등 도움안되는 바퀴벌레 같은 존재,199,5,minj****
한 마디로 미국은 중국이 싼 똥은 중국이 치워라 이거네 ㅎ 참 잘했어요,175,4,jk14****
중국은 지금이라도 빨리 멸망시켜여한다. 자국의 이익을위해서 무슨짓을 할지 모르는 반인륜적인 스레기들이다. 앞으로 Ai개발에도 혈안이 되어서 무분별한개발로로봇에의한 인류멸망을 일으킬수있는 유일한종족이다.,128,5,gugu****
중국 너무 민폐네,74,3,lmk1****
제 생각엔 미국이 어디에 떨어질지 이미 예측한것같네요. 미국과 관련없는 혹은 떨어져도 본인들 상관없는곳으로..그러니 격추 생각이 없는거지..,21,0,lwh1****
중국으로 떨어지길~,15,1,cham****
우한폐렴도 부족해서 이젠 대기권 밖에서 지구로 똥을 뿌리네. 뿌린대로 거두려면 저 잔해가 시진핑 집에 떨어져야한다. 베이징 한복판에 떨어지든지. 그렇게되면 똥치운다고 꽤나 고생할거다.,13,0,ok12****
이거 미국이 아니라도 다른 나라에 떨어져 피해보는날엔 아시아계 인종차별이 더욱 극대화 되겠는데...,12,1,youn****
정말 지구상에서 사라졌음 하는 나라 1위,11,0,lle8****
반드시 중국에 떨어져라.,10,0,skij****
시진핑 건물로 추락해라,8,0,semi****
"중국이 성장하면 자신감이 생겨 꼭 밖으로 확장정책을 펼친다. 당연히 주위 국가들과 마찰이 생긴다. 우리는 일본에 36년 당했다고 아직까지 미워하지만, 실제로 중국에는 더 비참하게 당하고 전국토가 불타고 여성들이 인질로 중국에 끌려갔었다. 정신차리고, 미래를 대비해야 한다.",7,0,myla****
중국은 인접한 나라들은 모두 분쟁중ㅡㅡ;; 진짜 슈퍼민폐국,6,0,appl****
베이징으로 떨어지길 기도합니다,5,0,jsy2****
지구상에서 사라져야할 쓰레기나라 중국,5,0,yoon****
짱 개 가 쏘아올린거 내려오면 짱 개 책임아님???짱 개가 격파해야지 ?? 왜 미국탓해???,5,1,bonl****
자금성이나 만리장성에 떨어졌음좋겟다,4,0,77le****
저것들은 진짜 지도에서 지워야된다.개민폐 국가,3,0,byr8****
젠장 인류대학살전쟁시나리오보다더끔찍하네중국에떨어져라,0,0,allu****
민폐..,0,0,hwan****
진짜 도움안되는 족속들이구나,0,0,sang****
고의로 서울에떨어트린거면서 실수라고하는거아니야?계획범죄면서?,0,0,onep****
미사일도 아니고 그냥 떨어지는 조각인데 패트리어트 발칸 미스타랄 호크 뭐해? 상주에 패트리어트는 왜 설치 한야?,0,0,kobw****
국회의사당이나 청와대 정조준,0,0,pure****
영화보면 떨어지기전 상공에서 격초시켜 파괴하드만 무슨수라도 써봐라ㅁㅊ 중국아,0,0,youj****
코로나 로켓 황사.. 극협이다 민폐국가 제발 암것도 하지마라!,4,0,i_ki****
이거 맞으면 로또보다 확률더 극악인데 로켓부품에 당첨돼질않길 바란다....,0,0,jjan****
세계에 미세먼지 코로나 쓰네기들만 투척 하더니 이제는 하늘에서 로켓 쓰레기까지 버리냐~! 빨리 소수민족 독립해서 중국공산당이 사라져야 한다~!!,7,0,ifig****
"황사,미세먼지, 로켓잔해까지 이건 너무하지않냐고",5,0,chae****
문재인 왈~~ 허허 괜찮습니다~~떨어질수도 있지요~ 우리는 중국몽을 지지합니다!! 헛소리 작렬!!,3,2,choi****
어케 된 게 중국은 이래저래 민폐국이냐?!! 더 웃긴 건 지들이 그런 줄 모른다는 거지!!,11,1,mabu****
중국은 황사넘어와 미세먼지넘어와 코로나넘어와 이제 하다하다 로켓 파편까지? 청와대로 떨어져라,13,6,jesc****
자유민주주의 국가들 헛점에 빨대를 꽂기 위해 탄생한 공산당이 대주주인 기괴한 구조의 중국 기업들...당연한 수순. 요즘 선동가들은 당이 자본가인 구조라며 신비롭다는 듯 찬양하던데 아구창을 날리고 싶더라.,23,0,yeos****
중국은 세계적으로 탄압을 받아야 합니다.,15,0,ding****
그런데도 뇌물현은 조선족들에게 이중국적 허용해서 벌러지들처럼 들어오게 만들었고 문재앙이는 결국 조선족과 짱깨들에게 투표권 부동산 매매권 등등 다 내주고 스스로 짱깨속국으로 들어가려 함. 가만히 있어도 짱깨들이 부러워하고 어려워 하고 열등감만 느끼던 한국인들 불과 4년만에 호구로 만들었다. 그런데도 여전이 문재앙 빨고 있는 대깨문들 반은 조선족 반은 전라도라지.,13,9,mani****
내가 그랬잖아!!! 중국은 망할 때 까지 때린다고!!! 달러에 도전하는 나라는 그 끝이 망국이라서... 중국 내부사정은 알고 다들 들어갔더냐!!! 투명성및 자본잠식상태다!!! 중국은 멍청한게... 스스로를 너무 과대평가했어!!! 어떤정권이 들어서는게 중요한게 아니라... 미국을 위협하는 나라는!!! 가만히 두지 않는다.,0,0,qoru****
굿뉴스군. 상장폐지를 축하합니다.,0,0,vero****
짱깨들.. 지들땅에 들어온 타국기업한테 어찌했는지 기억 못하냐? 내로남불이다.. 내로남불?? 누구랑 똑같은데??,0,0,ksy0****
축하드립니다 ^^ 아예 공산당도 해체되기를 기원합니다 ^^,0,0,step****
상장폐지 축하~^^,0,0,6281****
중국 전승절 참석후 조선족 수입해서 인구 늘리자던 토착왜구당 덕분에 전국 곳곳이 지금 조선족으로 몸살을 앓고있다.,2,3,majj****
중국 차는 당장은 가격이 싸지만 AS망이 부실하고 체계가 틀려서 숙련된 기술자가 잘 없어서 AS가 잘 안 됨~,20,3,gahe****
감전돼 디질라,13,4,jhsp****
현대차는 경각심을 가져야 한다. 중국은 내연기관 포기하고 전기차에 투자를 한거다. 중국무시하면 안된다. 애초부터 중국은 내연기관은 전기차를 생산하기 위한 초석으로 본거다. 만약 유럽진출하면 현대차는 기회를 잃어버릴 수도 있다는 거다.,9,5,seki****
짜장면 배달할때 타면 되겠네,5,1,zero****
중국차를 타느니 리어커를 타고말지,3,0,pkiu****
어떤 엽기적인 결함이 나올지 벌써부터 궁금하다 ㅋㅋ,2,0,tz69****
중국믿은 폭바부터 볼보등 전기차전환하는 업체들 전부 뒷통수맞음 기술도없으면서 싼가격찾다. 현 전기차중 제일 불안정상태. 그런국가가 차를 만든다? 베트남따라하냐? ㅋㅋ 폭발만 안하면 다행이지.타면 돈이 더드는차 ㅅㄱ해라,2,0,your****
일단 써봐.. ㅋㅋㅋ 망치로 부수고 싶을꺼야. 아직 플랫폼화도 안되어 있고.. 사고 한번 나면 놀랠듯,2,1,holy****
"유럽에 사는 중국인이 주요 고객.. 대부분의 유럽인들은 쪽팔려서 안탈듯.. 현기도 싸구려, 타면 쪽팔리는 차에서 가성비 좋은 차, 탈만한 차로 이미지 바꾸는데 30년이상 걸렸다",2,1,zjqp****
어디꺼 이리저리 붙여다 만들었지?,1,0,yjs8****
